Time Length Sequence number Acknowledgment number 
0.000000    62     0               
0.023265    54     1               1
0.026477    619    1               1
0.041737    1514   566             1
0.054026    1514   2026            1
0.054690    1514   3486            1
0.077405    1514   4946            1
0.078157    1514   6406            1
0.124185    1201   7866            1
0.305040    1514   9013            1
0.305813    1514   10473           1
0.306692    1514   11933           1
0.307571    1514   13393           1
0.308699    1514   14853           1
0.309553    946    16313           1
0.576671    1514   17205           1
0.577385    1514   18665           1
0.578329    1514   20125           1
0.579195    1514   21585           1
0.580149    1514   23045           1
0.581074    946    24505           1
0.853405    1514   25397           1
0.854076    1514   26857           1
0.855036    1514   28317           1
0.855878    1514   29777           1
0.856802    1514   31237           1
0.857683    946    32697           1
1.117333    1514   33589           1
1.118133    1514   35049           1
1.119029    1514   36509           1
1.119858    1514   37969           1
1.120902    1514   39429           1
1.121891    946    40889           1
1.390110    1514   41781           1
1.390824    1514   43241           1
1.391683    1514   44701           1
1.392594    1514   46161           1
1.393390    1514   47621           1
1.394202    946    49081           1
1.661734    1514   49973           1
1.662474    1514   51433           1
1.663315    1514   52893           1
1.664198    1514   54353           1
1.665254    1514   55813           1
1.666151    946    57273           1
1.931099    1514   58165           1
1.931879    1514   59625           1
1.932757    1514   61085           1
1.933636    1514   62545           1
1.934770    1514   64005           1
1.935586    946    65465           1
2.203411    1514   66357           1
2.204125    1514   67817           1
2.204962    1514   69277           1
2.205836    1514   70737           1
2.206824    1514   72197           1
2.207746    946    73657           1
2.476801    1514   74549           1
2.477515    1514   76009           1
2.478415    1514   77469           1
2.479341    1514   78929           1
2.480356    1514   80389           1
2.481218    946    81849           1
2.747468    1514   82741           1
2.748321    1514   84201           1
2.749246    1514   85661           1
2.750126    1514   87121           1
2.751237    1514   88581           1
2.752049    946    90041           1
3.021036    1514   90933           1
3.021748    1514   92393           1
3.022626    1514   93853           1
3.023492    1514   95313           1
3.024734    1514   96773           1
3.025618    946    98233           1
3.291881    1514   99125           1
3.292657    1514   100585          1
3.293613    1514   102045          1
3.294487    1514   103505          1
3.295806    1514   104965          1
3.296698    946    106425          1
3.562737    1514   107317          1
3.563561    1514   108777          1
3.564458    1514   110237          1
3.565426    1514   111697          1
3.566442    1514   113157          1
3.567324    946    114617          1
3.840697    1514   115509          1
3.841410    1514   116969          1
3.842307    1514   118429          1
3.843230    1514   119889          1
3.844008    1514   121349          1
3.844820    946    122809          1
4.107686    1514   123701          1
4.108476    1514   125161          1
4.109329    1514   126621          1
4.110217    1514   128081          1
4.111334    1514   129541          1
4.112209    946    131001          1
4.380034    1514   131893          1
4.380741    1514   133353          1
4.381618    1514   134813          1
4.382478    1514   136273          1
4.383659    1514   137733          1
4.384548    946    139193          1
4.648386    1514   140085          1
4.649100    1514   141545          1
4.649993    1514   143005          1
4.650926    1514   144465          1
4.651858    1514   145925          1
4.652735    946    147385          1
4.920310    1514   148277          1
4.921025    1514   149737          1
4.921916    1514   151197          1
4.922820    1514   152657          1
4.923863    1514   154117          1
4.924667    946    155577          1
5.197508    1514   156469          1
5.198388    1514   157929          1
5.199275    1514   159389          1
5.200252    1514   160849          1
5.201150    1514   162309          1
5.202024    326    163769          1
5.297341    104    164041          1
5.651141    54     164091          731
